Time (h),OD600 (-),[Glucose] (g/L),[Xylose] (g/L),trajectory_id
72.0,2.3203,1.4394,16.5751,1:1_0003
80.0,2.8171,0.0448,10.3146,1:1_0003
80.0,2.8505,0.0,10.3366,1:1_0003
80.0,2.8427,0.0778,10.3895,1:1_0003
96.0,3.3328,0.0,0.1002,1:1_0003
96.0,3.389,0.0,0.0,1:1_0003
96.0,3.3672,0.0931,0.1798,1:1_0003
104.0,3.3756,0.0,0.0,1:1_0003
104.0,3.3655,0.0,0.0,1:1_0003
104.0,3.4062,0.1785,0.1136,1:1_0003
120.0,3.3468,0.0855,0.064,1:1_0003
120.0,3.3741,0.125,0.0635,1:1_0003
120.0,3.38,0.0637,0.0341,1:1_0003
128.0,3.3296,0.0084,0.0,1:1_0003
128.0,3.3396,0.1682,0.1729,1:1_0003
128.0,3.3924,0.0255,0.1351,1:1_0003
144.0,3.3655,0.0203,0.0,1:1_0003
144.0,3.3732,0.006,0.0,1:1_0003
144.0,3.3642,0.0,0.1798,1:1_0003
24.0,0.1771,13.375,16.5093,1:1_0004
24.0,0.1836,13.5382,16.5223,1:1_0004
24.0,0.1954,13.5984,16.7281,1:1_0004
32.333,0.8233,11.3637,16.333,1:1_0004
32.333,0.8063,11.1407,16.533,1:1_0004
32.333,0.8012,11.2108,16.7093,1:1_0004
48.0,3.0962,0.0414,0.1317,1:1_0004
48.0,3.1011,0.0006,0.1998,1:1_0004
48.0,3.1229,0.1647,0.1859,1:1_0004
55.5,3.1183,0.0,0.0,1:1_0004
55.5,3.1254,0.0866,0.0212,1:1_0004
55.5,3.1243,0.0491,0.1201,1:1_0004
72.0,3.1123,0.0,0.0336,1:1_0004
72.0,3.0479,0.0383,0.0,1:1_0004
72.0,3.0721,0.0452,0.0478,1:1_0004
80.0,3.0833,0.0,0.1371,1:1_0004
80.0,3.0969,0.2243,0.0,1:1_0004
80.0,3.1147,0.1617,0.0131,1:1_0004
96.0,3.0865,0.0,0.0,1:1_0004
96.0,3.0793,0.0,0.0,1:1_0004
96.0,3.125,0.0035,0.0,1:1_0004
104.0,3.1044,0.0223,0.0617,1:1_0004
104.0,3.0866,0.0,0.1105,1:1_0004
104.0,3.0983,0.0,0.0444,1:1_0004
120.0,3.1158,0.0,0.0229,1:1_0004
120.0,3.1213,0.0374,0.0632,1:1_0004
120.0,3.0785,0.0331,0.0,1:1_0004
128.0,3.0969,0.0871,0.1479,1:1_0004
128.0,3.1424,0.1315,0.0,1:1_0004
128.0,3.1136,0.0767,0.0121,1:1_0004
144.0,3.1092,0.0824,0.0,1:1_0004
144.0,3.092,0.0,0.0634,1:1_0004
144.0,3.1066,0.034,0.067,1:1_0004
24.0,0.2148,14.1322,13.5956,1:1_0005
24.0,0.2204,13.8898,13.5182,1:1_0005
24.0,0.1644,14.1042,13.5542,1:1_0005
32.333,0.6005,13.2636,13.5693,1:1_0005
32.333,0.5696,13.1933,13.4962,1:1_0005
32.333,0.5796,13.2434,13.4932,1:1_0005
48.0,2.6596,0.0677,10.1067,1:1_0005
48.0,2.663,0.0699,10.2123,1:1_0005
48.0,2.6282,0.0,10.1484,1:1_0005
55.5,2.969,0.0,3.1137,1:1_0005
55.5,2.9333,0.0,3.0809,1:1_0005
55.5,3.007,0.0,3.2172,1:1_0005
72.0,3.0814,0.0411,0.0118,1:1_0005
72.0,3.0873,0.0,0.1454,1:1_0005
72.0,3.0692,0.1132,0.0,1:1_0005
80.0,3.0772,0.0,0.0455,1:1_0005
80.0,3.1073,0.0,0.0,1:1_0005
80.0,3.0561,0.0,0.0,1:1_0005
96.0,3.0601,0.0227,0.1319,1:1_0005
96.0,3.1345,0.0,0.1435,1:1_0005
96.0,3.0832,0.0,0.0433,1:1_0005
104.0,3.0796,0.011,0.0,1:1_0005
104.0,3.0504,0.0,0.0653,1:1_0005
104.0,3.0728,0.0,0.0009,1:1_0005
120.0,3.0943,0.018,0.0,1:1_0005
120.0,3.1029,0.1579,0.0495,1:1_0005
120.0,3.0978,0.1242,0.113,1:1_0005
128.0,3.0906,0.0598,0.052,1:1_0005
128.0,3.0564,0.0701,0.0,1:1_0005
128.0,3.0625,0.1304,0.084,1:1_0005
144.0,3.1081,0.0,0.0,1:1_0005
144.0,3.0735,0.0102,0.0079,1:1_0005
144.0,3.101,0.0,0.0352,1:1_0005
24.0,0.2384,16.5814,16.276,1:1_0006
24.0,0.2779,16.4494,16.2962,1:1_0006
24.0,0.2503,16.4436,16.4644,1:1_0006
32.333,0.3907,3.665,16.1459,1:1_0006
32.333,0.4374,3.9341,16.2475,1:1_0006
32.333,0.4294,3.967,16.3032,1:1_0006
48.0,0.5785,0.0963,9.9038,1:1_0006
48.0,0.5636,0.0698,9.8876,1:1_0006
48.0,0.5749,0.1473,9.6314,1:1_0006
55.5,0.5968,0.0,5.9327,1:1_0006
55.5,0.6201,0.0,5.8706,1:1_0006
55.5,0.608,0.2457,6.1492,1:1_0006
72.0,0.69,0.0,0.0,1:1_0006
72.0,0.66,0.0,0.0,1:1_0006
72.0,0.6965,0.0,0.0,1:1_0006
80.0,0.7012,0.0366,0.0417,1:1_0006
80.0,0.6718,0.0855,0.0,1:1_0006
80.0,0.7109,0.0,0.0,1:1_0006
96.0,0.6919,0.0365,0.0613,1:1_0006
96.0,0.6954,0.1532,0.1008,1:1_0006
96.0,0.6931,0.075,0.1934,1:1_0006
104.0,0.7374,0.0,0.0,1:1_0006
104.0,0.7279,0.0,0.0,1:1_0006
104.0,0.6885,0.042,0.0,1:1_0006
120.0,0.6852,0.0,0.0,1:1_0006
120.0,0.6806,0.2282,0.0298,1:1_0006
120.0,0.7159,0.0,0.0,1:1_0006
128.0,0.6839,0.0,0.0,1:1_0006
128.0,0.662,0.0,0.0,1:1_0006
128.0,0.7247,0.0,0.1291,1:1_0006
144.0,0.7064,0.0783,0.0,1:1_0006
144.0,0.7087,0.0729,0.0,1:1_0006
144.0,0.7094,0.0566,0.0,1:1_0006
24.0,0.2943,13.36,16.5691,1:1_0007
24.0,0.262,13.3719,16.2838,1:1_0007
24.0,0.2572,13.2572,16.5613,1:1_0007
32.333,0.3373,13.1196,16.489,1:1_0007
32.333,0.2924,13.1365,16.5362,1:1_0007
32.333,0.3062,13.3733,16.4106,1:1_0007
48.0,0.4538,12.5858,16.5209,1:1_0007
48.0,0.4248,12.5711,16.4297,1:1_0007
48.0,0.4171,12.6422,16.5063,1:1_0007
55.5,0.5294,12.2844,16.5731,1:1_0007
55.5,0.51,12.168,16.3658,1:1_0007
55.5,0.518,12.0707,16.5902,1:1_0007
72.0,0.7715,10.6076,16.4992,1:1_0007
72.0,0.7208,10.428,16.4594,1:1_0007
72.0,0.7654,10.6544,16.2472,1:1_0007
80.0,0.9153,9.7426,16.4222,1:1_0007
80.0,0.9191,9.4983,16.3003,1:1_0007
80.0,0.8731,9.568,16.4243,1:1_0007
96.0,1.2401,6.3217,16.07,1:1_0007
96.0,1.2523,6.3932,15.9773,1:1_0007
96.0,1.2839,6.4632,16.1606,1:1_0007
104.0,1.414,4.1956,16.1466,1:1_0007
104.0,1.408,4.2605,15.9053,1:1_0007
104.0,1.4797,4.2277,16.0637,1:1_0007
120.0,1.7945,0.7211,14.8226,1:1_0007
120.0,1.7907,0.389,14.9619,1:1_0007
120.0,1.7679,0.4814,14.8406,1:1_0007
128.0,1.8545,0.0843,12.915,1:1_0007
128.0,1.8917,0.0,12.8059,1:1_0007
128.0,1.9006,0.0,12.7108,1:1_0007
144.0,2.0995,0.0272,6.9449,1:1_0007
144.0,2.1192,0.0471,6.9695,1:1_0007
144.0,2.1362,0.0,6.8239,1:1_0007
24.0,0.1932,16.9348,16.3965,1:1_0008
24.0,0.1712,16.6928,16.3089,1:1_0008
24.0,0.1736,16.7057,16.4415,1:1_0008
32.333,0.3553,16.4401,16.3061,1:1_0008
32.333,0.3975,16.2412,16.4769,1:1_0008
32.333,0.4149,16.4499,16.1926,1:1_0008
48.0,2.3554,7.1039,15.9736,1:1_0008
48.0,2.3383,7.0998,16.1898,1:1_0008
48.0,2.3423,7.0925,16.2815,1:1_0008
55.5,3.4325,0.0,7.1809,1:1_0008
55.5,3.4047,0.0,7.222,1:1_0008
55.5,3.4329,0.0,7.2463,1:1_0008
72.0,3.6804,0.0,0.1477,1:1_0008
72.0,3.6879,0.0462,0.0,1:1_0008
72.0,3.736,0.0603,0.0,1:1_0008
80.0,3.7103,0.0,0.1183,1:1_0008
80.0,3.6923,0.0,0.0,1:1_0008
80.0,3.6872,0.0695,0.0256,1:1_0008
96.0,3.7118,0.0,0.0513,1:1_0008
96.0,3.6904,0.223,0.0,1:1_0008
96.0,3.724,0.1368,0.0,1:1_0008
104.0,3.7433,0.0995,0.0971,1:1_0008
104.0,3.6993,0.0,0.0,1:1_0008
104.0,3.7066,0.1401,0.0181,1:1_0008
120.0,3.6805,0.0824,0.0921,1:1_0008
120.0,3.7119,0.0745,0.0,1:1_0008
120.0,3.6802,0.0,0.0,1:1_0008
128.0,3.7035,0.0,0.0,1:1_0008
128.0,3.6397,0.0,0.1121,1:1_0008
128.0,3.6855,0.0361,0.0,1:1_0008
144.0,3.7275,0.0,0.029,1:1_0008
144.0,3.7453,0.1516,0.0,1:1_0008
144.0,3.6869,0.0,0.051,1:1_0008
24.0,0.2987,14.355,14.5643,1:1_0009
24.0,0.2694,14.3069,14.7113,1:1_0009
24.0,0.3204,14.4823,14.4743,1:1_0009
32.333,0.3319,14.3735,14.9085,1:1_0009
32.333,0.3066,14.3507,14.8695,1:1_0009
32.333,0.3448,14.4461,14.7104,1:1_0009
48.0,0.4342,14.2288,14.6143,1:1_0009
48.0,0.4452,14.0138,14.7281,1:1_0009
48.0,0.4312,14.0894,14.693,1:1_0009
55.5,0.4704,13.8923,14.6576,1:1_0009
55.5,0.4607,14.0317,14.5779,1:1_0009
55.5,0.4971,13.8813,14.6363,1:1_0009
72.0,0.6217,13.6803,14.7188,1:1_0009
72.0,0.6299,13.5976,14.4751,1:1_0009
72.0,0.6333,13.7475,14.699,1:1_0009
80.0,0.7251,13.3074,14.7706,1:1_0009
80.0,0.6838,13.0843,14.702,1:1_0009
80.0,0.7095,13.3838,14.6495,1:1_0009
96.0,0.8982,12.3267,14.3925,1:1_0009
96.0,0.9322,12.4347,14.6251,1:1_0009
96.0,0.9585,12.5734,14.6505,1:1_0009
104.0,1.0181,11.9799,14.7135,1:1_0009
104.0,1.067,12.0164,14.5415,1:1_0009
104.0,1.101,11.8223,14.7329,1:1_0009
120.0,1.3097,10.3767,14.7817,1:1_0009
120.0,1.3382,10.5537,14.6537,1:1_0009
120.0,1.3413,10.6061,14.6064,1:1_0009
128.0,1.4666,9.4194,14.6643,1:1_0009
128.0,1.5101,9.343,14.5367,1:1_0009
128.0,1.4905,9.4632,14.4716,1:1_0009
144.0,1.8427,6.8059,14.6178,1:1_0009
144.0,1.8714,6.8641,14.5014,1:1_0009
144.0,1.858,6.7971,14.426,1:1_0009
24.0,0.179,16.1191,13.8869,1:1_0010
24.0,0.1822,16.3252,13.9073,1:1_0010
24.0,0.1444,16.3286,13.6902,1:1_0010
32.333,0.2038,15.4464,13.7366,1:1_0010
32.333,0.2415,15.2135,13.6941,1:1_0010
32.333,0.2472,15.2792,13.8729,1:1_0010
48.0,0.9782,4.9628,13.4848,1:1_0010
48.0,1.0007,4.824,13.4554,1:1_0010
48.0,0.9918,5.0572,13.3187,1:1_0010
55.5,1.3266,0.2631,9.95,1:1_0010
55.5,1.3368,0.1055,9.8608,1:1_0010
55.5,1.3387,0.102,9.8949,1:1_0010
72.0,1.6707,0.0,0.0649,1:1_0010
72.0,1.7274,0.0,0.0441,1:1_0010
72.0,1.6539,0.0577,0.0164,1:1_0010
80.0,1.6847,0.1176,0.0194,1:1_0010
80.0,1.6921,0.0,0.1592,1:1_0010
80.0,1.6769,0.1078,0.0,1:1_0010
96.0,1.6528,0.0146,0.0,1:1_0010
96.0,1.6751,0.1085,0.0,1:1_0010
96.0,1.6889,0.0008,0.0,1:1_0010
104.0,1.64,0.0503,0.0,1:1_0010
104.0,1.6824,0.0,0.0053,1:1_0010
104.0,1.6671,0.117,0.0,1:1_0010
120.0,1.6556,0.0,0.1273,1:1_0010
120.0,1.6802,0.0,0.0,1:1_0010
120.0,1.6381,0.0388,0.0,1:1_0010
128.0,1.6845,0.0129,0.2387,1:1_0010
128.0,1.6474,0.0,0.1798,1:1_0010
128.0,1.6933,0.0,0.0224,1:1_0010
144.0,1.6695,0.0282,0.0,1:1_0010
144.0,1.6677,0.0,0.0135,1:1_0010
144.0,1.6784,0.0,0.0,1:1_0010
24.0,0.2451,16.4069,12.9663,1:1_0011
24.0,0.2,16.4072,12.9987,1:1_0011
24.0,0.2359,16.4138,13.361,1:1_0011
32.333,0.3431,16.0124,13.0037,1:1_0011
32.333,0.368,16.0062,12.884,1:1_0011
32.333,0.3826,16.1824,13.0712,1:1_0011
48.0,1.1758,12.4297,13.0369,1:1_0011
48.0,1.1589,12.0996,13.1174,1:1_0011
48.0,1.1683,12.2259,13.066,1:1_0011
55.5,1.8494,6.4841,12.9616,1:1_0011
55.5,1.8343,6.6417,12.7612,1:1_0011
55.5,1.8478,6.7293,13.0137,1:1_0011
72.0,2.9534,0.0,0.0,1:1_0011
72.0,2.9529,0.0038,0.0,1:1_0011
72.0,2.9508,0.0,0.0,1:1_0011
80.0,2.9411,0.0915,0.0,1:1_0011
80.0,2.9477,0.0,0.0111,1:1_0011
80.0,2.9437,0.1477,0.0507,1:1_0011
96.0,2.9252,0.0671,0.0,1:1_0011
96.0,2.9399,0.0314,0.0,1:1_0011
96.0,2.9693,0.0,0.0,1:1_0011
104.0,2.9383,0.0,0.1099,1:1_0011
104.0,2.964,0.171,0.2268,1:1_0011
104.0,2.9308,0.007,0.0,1:1_0011
120.0,2.9359,0.0,0.0,1:1_0011
120.0,2.9304,0.0,0.0,1:1_0011
120.0,2.9683,0.0,0.281,1:1_0011
128.0,2.9424,0.0072,0.0,1:1_0011
128.0,2.9856,0.112,0.0297,1:1_0011
128.0,2.9245,0.0211,0.0,1:1_0011
144.0,2.9807,0.0809,0.0095,1:1_0011
144.0,2.9027,0.0,0.0688,1:1_0011
144.0,2.9757,0.1109,0.0,1:1_0011
24.0,0.2758,16.7339,13.6285,1:1_0012
24.0,0.2688,16.5722,13.7172,1:1_0012
24.0,0.267,16.7683,13.7655,1:1_0012
32.333,0.2327,16.3438,13.695,1:1_0012
32.333,0.2716,16.5582,13.6214,1:1_0012
32.333,0.285,16.6345,13.716,1:1_0012
48.0,0.2758,15.8936,13.7407,1:1_0012
48.0,0.3054,16.1689,13.5758,1:1_0012
48.0,0.2944,16.1905,13.8197,1:1_0012
55.5,0.268,15.8646,13.7366,1:1_0012
55.5,0.2867,15.7755,13.7033,1:1_0012
55.5,0.2971,15.896,13.6838,1:1_0012
72.0,0.2908,15.5384,13.5672,1:1_0012
72.0,0.2842,15.3917,13.7452,1:1_0012
72.0,0.266,15.2595,13.4535,1:1_0012
80.0,0.3018,15.0286,13.6165,1:1_0012
80.0,0.3144,15.0763,13.678,1:1_0012
80.0,0.2952,15.2076,13.7024,1:1_0012
96.0,0.2981,14.6049,13.7542,1:1_0012
96.0,0.3198,14.4821,13.7154,1:1_0012
96.0,0.2903,14.763,13.7522,1:1_0012
104.0,0.3233,14.369,13.6262,1:1_0012
104.0,0.3311,14.3161,13.6706,1:1_0012
104.0,0.3349,14.297,13.5855,1:1_0012
120.0,0.305,13.6915,13.4583,1:1_0012
120.0,0.3435,13.9789,13.7837,1:1_0012
120.0,0.2964,13.8705,13.7834,1:1_0012
128.0,0.3256,13.5215,13.4372,1:1_0012
128.0,0.3401,13.405,13.658,1:1_0012
128.0,0.3035,13.5657,13.7405,1:1_0012
144.0,0.331,12.807,13.4155,1:1_0012
144.0,0.3414,12.8625,13.476,1:1_0012
144.0,0.3558,12.8757,13.5236,1:1_0012
24.0,0.2763,14.0919,14.758,1:1_0013
24.0,0.3098,13.9875,15.149,1:1_0013
24.0,0.2958,14.1013,14.9785,1:1_0013
32.333,0.4096,13.93,14.969,1:1_0013
32.333,0.4272,13.757,15.0447,1:1_0013
32.333,0.4257,13.9224,15.2069,1:1_0013
48.0,0.7133,13.0492,14.9045,1:1_0013
48.0,0.7418,13.2369,15.0142,1:1_0013
48.0,0.7061,13.2638,14.8815,1:1_0013
55.5,0.9753,12.8894,15.0301,1:1_0013
55.5,0.9638,12.5544,14.8124,1:1_0013
55.5,0.9401,12.4944,14.8487,1:1_0013
72.0,1.616,10.2703,14.9803,1:1_0013
72.0,1.5754,10.2257,15.0388,1:1_0013
72.0,1.5809,10.296,14.9227,1:1_0013
80.0,1.9201,8.2379,14.6902,1:1_0013
80.0,1.9217,8.3842,14.7594,1:1_0013
80.0,1.9262,8.384,14.6724,1:1_0013
96.0,2.5469,3.7403,14.6338,1:1_0013
96.0,2.5421,3.7154,14.6974,1:1_0013
96.0,2.5807,3.69,14.5483,1:1_0013
104.0,2.7854,1.8399,14.2021,1:1_0013
104.0,2.8106,1.8063,14.2645,1:1_0013
104.0,2.7999,1.8716,14.2697,1:1_0013
120.0,3.1682,0.0293,11.6268,1:1_0013
120.0,3.1894,0.0387,11.401,1:1_0013
120.0,3.1997,0.1822,11.4212,1:1_0013
128.0,3.4441,0.0,8.6549,1:1_0013
128.0,3.4203,0.0895,8.7844,1:1_0013
128.0,3.4343,0.0703,8.7837,1:1_0013
144.0,3.7975,0.0076,3.2091,1:1_0013
144.0,3.807,0.0786,3.2539,1:1_0013
144.0,3.8035,0.0,3.2051,1:1_0013
24.0,0.2669,16.3845,13.6943,1:1_0014
24.0,0.2481,16.3193,13.8388,1:1_0014
24.0,0.2579,16.2806,13.499,1:1_0014
32.333,0.2311,16.4462,13.532,1:1_0014
32.333,0.2525,16.3462,13.6416,1:1_0014
32.333,0.2331,16.245,13.5908,1:1_0014
48.0,0.262,16.3858,13.4875,1:1_0014
48.0,0.2635,16.2782,13.5163,1:1_0014
48.0,0.2311,16.4827,13.6318,1:1_0014
55.5,0.3327,16.1772,13.8477,1:1_0014
55.5,0.2864,15.9787,13.5049,1:1_0014
55.5,0.3035,15.9448,13.5365,1:1_0014
72.0,0.7472,13.734,13.5547,1:1_0014
72.0,0.7811,13.7513,13.6098,1:1_0014
72.0,0.7641,13.9126,13.573,1:1_0014
80.0,1.1108,10.8332,13.3503,1:1_0014
80.0,1.1484,10.9213,13.4775,1:1_0014
80.0,1.1883,10.9884,13.5969,1:1_0014
96.0,1.9351,1.4428,13.2,1:1_0014
96.0,1.9572,1.357,13.1783,1:1_0014
96.0,1.954,1.5212,13.115,1:1_0014
104.0,2.1292,0.0606,11.7267,1:1_0014
104.0,2.1521,0.1864,11.6882,1:1_0014
104.0,2.1309,0.1221,11.7787,1:1_0014
120.0,2.4851,0.0791,5.7027,1:1_0014
120.0,2.5196,0.1778,5.5181,1:1_0014
120.0,2.494,0.0011,5.5949,1:1_0014
128.0,2.6175,0.0,2.838,1:1_0014
128.0,2.6151,0.0086,2.7493,1:1_0014
128.0,2.6085,0.0234,2.8438,1:1_0014
144.0,2.7582,0.2186,0.3176,1:1_0014
144.0,2.7563,0.0,0.1611,1:1_0014
144.0,2.7782,0.0,0.1854,1:1_0014
24.0,0.1818,15.8103,13.1642,1:1_0015
24.0,0.172,15.6758,13.2761,1:1_0015
24.0,0.1349,15.9471,13.1974,1:1_0015
32.333,0.2197,15.8882,12.9344,1:1_0015
32.333,0.1823,15.847,13.1526,1:1_0015
32.333,0.2076,15.9121,13.2329,1:1_0015
48.0,0.3998,15.1915,13.123,1:1_0015
48.0,0.4124,15.2671,13.2317,1:1_0015
48.0,0.4222,15.3889,12.8622,1:1_0015
55.5,0.5931,15.0072,13.1094,1:1_0015
55.5,0.579,14.9422,13.1654,1:1_0015
55.5,0.6408,14.8463,13.2099,1:1_0015
72.0,1.4498,11.5247,13.3583,1:1_0015
72.0,1.462,11.2969,13.1753,1:1_0015
72.0,1.4654,11.5752,13.0879,1:1_0015
80.0,1.9699,8.1044,13.3348,1:1_0015
80.0,1.9316,7.9608,13.0469,1:1_0015
80.0,1.9368,7.9226,12.8013,1:1_0015
96.0,2.6404,1.1089,12.4203,1:1_0015
96.0,2.6878,1.0733,12.5987,1:1_0015
96.0,2.6543,1.1546,12.4975,1:1_0015
104.0,2.8101,0.1974,11.2338,1:1_0015
104.0,2.7901,0.163,11.2247,1:1_0015
104.0,2.8274,0.1648,11.2262,1:1_0015
120.0,3.02,0.1171,7.046,1:1_0015
120.0,2.9472,0.0548,6.8229,1:1_0015
120.0,3.0243,0.02,7.1448,1:1_0015
128.0,3.0598,0.0,5.2092,1:1_0015
128.0,3.0772,0.0,5.1916,1:1_0015
128.0,3.1332,0.0838,5.288,1:1_0015
144.0,3.2081,0.1479,2.4803,1:1_0015
144.0,3.1501,0.0,2.5805,1:1_0015
144.0,3.1718,0.0,2.4301,1:1_0015
24.0,0.2563,14.2839,16.7758,1:1_0016
24.0,0.3269,14.4672,16.8397,1:1_0016
24.0,0.2685,14.2308,16.8067,1:1_0016
32.333,0.2542,14.2953,16.7163,1:1_0016
32.333,0.3081,14.2837,16.4839,1:1_0016
32.333,0.2863,14.2492,16.732,1:1_0016
48.0,0.2745,14.2918,16.8068,1:1_0016
48.0,0.2456,14.2674,16.7962,1:1_0016
48.0,0.264,14.1583,16.7946,1:1_0016
55.5,0.4037,13.8024,16.5219,1:1_0016
55.5,0.3954,13.6409,16.7489,1:1_0016
55.5,0.3635,13.6909,16.6738,1:1_0016
72.0,1.0375,9.334,16.6638,1:1_0016
72.0,1.0322,9.4964,16.633,1:1_0016
72.0,1.0272,9.3118,16.4401,1:1_0016
80.0,1.4638,5.1007,16.1383,1:1_0016
80.0,1.4473,5.0461,16.5331,1:1_0016
80.0,1.424,4.9921,16.4865,1:1_0016
96.0,1.9697,0.1704,12.7165,1:1_0016
96.0,1.9549,0.0122,12.5936,1:1_0016
96.0,1.937,0.3999,12.7361,1:1_0016
