Time (h),OD600 (-),[Glucose] (g/L),[Xylose] (g/L),trajectory_id
144.0,1.6471,15.0703,8.1929,2:1_0008
144.0,1.6484,15.0527,8.5648,2:1_0008
144.0,1.6419,14.9661,8.4163,2:1_0008
24.0,0.2261,20.1465,8.9015,2:1_0009
24.0,0.2344,20.2841,8.8848,2:1_0009
24.0,0.2443,20.3447,8.9435,2:1_0009
32.333,0.3643,19.9235,8.9556,2:1_0009
32.333,0.3332,20.1218,8.8892,2:1_0009
32.333,0.3923,19.9279,9.1063,2:1_0009
48.0,0.7536,19.4775,8.985,2:1_0009
48.0,0.7731,19.6936,8.9588,2:1_0009
48.0,0.7392,19.3913,8.8626,2:1_0009
55.5,1.0518,18.787,8.8041,2:1_0009
55.5,1.0516,18.7903,8.905,2:1_0009
55.5,1.0292,18.8044,9.126,2:1_0009
72.0,2.0205,15.1294,8.7927,2:1_0009
72.0,2.0043,15.1122,8.7401,2:1_0009
72.0,2.0167,15.1007,8.8721,2:1_0009
80.0,2.632,11.0269,8.6857,2:1_0009
80.0,2.6021,11.0121,8.8784,2:1_0009
80.0,2.6461,10.9866,8.7114,2:1_0009
96.0,3.8148,0.0,4.1589,2:1_0009
96.0,3.8447,0.2465,4.0472,2:1_0009
96.0,3.8366,0.0745,4.0972,2:1_0009
104.0,3.9492,0.0275,0.2147,2:1_0009
104.0,3.9751,0.0,0.0,2:1_0009
104.0,3.9469,0.0019,0.071,2:1_0009
120.0,3.956,0.0,0.0277,2:1_0009
120.0,3.9598,0.0,0.0,2:1_0009
120.0,3.9778,0.0,0.093,2:1_0009
128.0,3.9889,0.0,0.0,2:1_0009
128.0,3.9724,0.0,0.0,2:1_0009
128.0,4.0081,0.0714,0.0,2:1_0009
144.0,3.9315,0.0,0.0,2:1_0009
144.0,3.9686,0.0,0.0,2:1_0009
144.0,3.9616,0.0,0.0,2:1_0009
24.0,0.214,18.7754,11.9339,2:1_0010
24.0,0.208,18.8461,11.9228,2:1_0010
24.0,0.2153,18.7497,11.9337,2:1_0010
32.333,0.1838,18.8586,11.8117,2:1_0010
32.333,0.1537,18.822,11.7798,2:1_0010
32.333,0.165,18.883,11.9784,2:1_0010
48.0,0.1805,18.452,11.9351,2:1_0010
48.0,0.2006,18.8082,11.9289,2:1_0010
48.0,0.1837,18.7155,11.7712,2:1_0010
55.5,0.2454,15.9205,11.8892,2:1_0010
55.5,0.2751,15.7477,11.6894,2:1_0010
55.5,0.2517,15.7863,11.874,2:1_0010
72.0,0.6428,0.118,5.7187,2:1_0010
72.0,0.7008,0.0524,5.6954,2:1_0010
72.0,0.7108,0.0265,5.8175,2:1_0010
80.0,0.7269,0.0467,0.3528,2:1_0010
80.0,0.7109,0.0,0.3118,2:1_0010
80.0,0.7399,0.06,0.3167,2:1_0010
96.0,0.7203,0.0,0.0,2:1_0010
96.0,0.7432,0.0,0.0,2:1_0010
96.0,0.7361,0.0004,0.0,2:1_0010
104.0,0.7132,0.0269,0.0,2:1_0010
104.0,0.7296,0.1158,0.0505,2:1_0010
104.0,0.7199,0.0,0.1599,2:1_0010
120.0,0.7252,0.004,0.0664,2:1_0010
120.0,0.7356,0.0,0.0,2:1_0010
120.0,0.7311,0.0658,0.1321,2:1_0010
128.0,0.702,0.1763,0.0,2:1_0010
128.0,0.7498,0.0,0.0,2:1_0010
128.0,0.7051,0.0,0.0524,2:1_0010
144.0,0.732,0.0,0.1118,2:1_0010
144.0,0.7314,0.028,0.3111,2:1_0010
144.0,0.7312,0.0,0.0481,2:1_0010
24.0,0.2213,19.6039,10.2759,2:1_0011
24.0,0.2001,19.6672,10.348,2:1_0011
24.0,0.2757,19.7716,10.4401,2:1_0011
32.333,0.2363,19.8043,10.6387,2:1_0011
32.333,0.2242,19.5497,10.4371,2:1_0011
32.333,0.2515,19.6044,10.5125,2:1_0011
48.0,0.2818,19.5152,10.4227,2:1_0011
48.0,0.2151,19.5721,10.4378,2:1_0011
48.0,0.2283,19.7078,10.4824,2:1_0011
55.5,0.3111,19.2016,10.4409,2:1_0011
55.5,0.2981,19.2074,10.5043,2:1_0011
55.5,0.2667,19.2611,10.3755,2:1_0011
72.0,0.6816,15.9879,10.3861,2:1_0011
72.0,0.694,16.1898,10.3033,2:1_0011
72.0,0.6966,16.258,10.3726,2:1_0011
80.0,1.001,12.5876,10.2753,2:1_0011
80.0,1.0064,12.89,10.3051,2:1_0011
80.0,1.0544,12.8258,10.2377,2:1_0011
96.0,1.6766,2.4392,9.8051,2:1_0011
96.0,1.6323,2.4288,9.8685,2:1_0011
96.0,1.6457,2.7371,9.6705,2:1_0011
104.0,1.7765,0.2949,8.0696,2:1_0011
104.0,1.8244,0.3983,7.8393,2:1_0011
104.0,1.798,0.6158,7.8264,2:1_0011
120.0,2.0019,0.0998,0.7216,2:1_0011
120.0,1.977,0.0,0.9481,2:1_0011
120.0,1.9686,0.0,0.8281,2:1_0011
128.0,1.9791,0.0,0.2165,2:1_0011
128.0,1.9809,0.1412,0.2091,2:1_0011
128.0,2.0175,0.0009,0.0531,2:1_0011
144.0,2.0013,0.0362,0.0,2:1_0011
144.0,2.018,0.0,0.0503,2:1_0011
144.0,2.0248,0.0,0.0119,2:1_0011
24.0,0.2398,19.1612,9.4826,2:1_0012
24.0,0.2108,19.3547,9.3707,2:1_0012
24.0,0.2073,19.025,9.2326,2:1_0012
32.333,0.222,19.0602,9.1847,2:1_0012
32.333,0.267,19.0802,9.3191,2:1_0012
32.333,0.2179,18.9922,9.0901,2:1_0012
48.0,0.343,18.7255,9.1744,2:1_0012
48.0,0.3389,18.9061,9.3207,2:1_0012
48.0,0.3174,18.9627,9.3186,2:1_0012
55.5,0.3249,18.804,9.3485,2:1_0012
55.5,0.3792,18.6058,9.2333,2:1_0012
55.5,0.3637,18.6362,9.0709,2:1_0012
72.0,0.495,18.3827,9.2856,2:1_0012
72.0,0.502,18.3336,9.2995,2:1_0012
72.0,0.4938,18.4281,9.2021,2:1_0012
80.0,0.5933,17.8692,9.2135,2:1_0012
80.0,0.6017,17.8663,9.2688,2:1_0012
80.0,0.625,18.0899,9.2193,2:1_0012
96.0,0.7883,17.0811,9.4076,2:1_0012
96.0,0.7796,16.9919,9.3477,2:1_0012
96.0,0.766,17.007,9.2679,2:1_0012
104.0,0.9355,16.325,9.2994,2:1_0012
104.0,0.9472,16.3952,9.4301,2:1_0012
104.0,0.943,16.361,9.4261,2:1_0012
120.0,1.2515,14.63,9.1765,2:1_0012
120.0,1.2745,14.564,9.1831,2:1_0012
120.0,1.2588,14.562,9.3324,2:1_0012
128.0,1.4261,13.286,9.2033,2:1_0012
128.0,1.4487,13.3866,9.0439,2:1_0012
128.0,1.4626,13.1652,9.1435,2:1_0012
144.0,1.856,9.426,9.0267,2:1_0012
144.0,1.9157,9.4834,9.1285,2:1_0012
144.0,1.8608,9.5333,9.2483,2:1_0012
24.0,0.1408,20.0217,9.6169,2:1_0013
24.0,0.1586,19.6669,9.6185,2:1_0013
24.0,0.1543,19.7182,9.7302,2:1_0013
32.333,0.2051,19.9173,9.7714,2:1_0013
32.333,0.2014,19.8647,9.7911,2:1_0013
32.333,0.2046,19.6245,9.4145,2:1_0013
48.0,0.545,18.4444,9.6621,2:1_0013
48.0,0.526,18.4637,9.5649,2:1_0013
48.0,0.5114,18.4855,9.5474,2:1_0013
55.5,0.887,16.8627,9.5001,2:1_0013
55.5,0.9093,16.8363,9.7575,2:1_0013
55.5,0.8921,16.8592,9.5581,2:1_0013
72.0,2.1838,4.4346,9.4872,2:1_0013
72.0,2.2036,4.3586,9.4627,2:1_0013
72.0,2.1832,4.4771,9.358,2:1_0013
80.0,2.5936,0.0,6.0766,2:1_0013
80.0,2.5851,0.0,6.0612,2:1_0013
80.0,2.6106,0.0066,6.1539,2:1_0013
96.0,2.8644,0.0069,0.0,2:1_0013
96.0,2.8854,0.0,0.056,2:1_0013
96.0,2.8437,0.0712,0.0,2:1_0013
104.0,2.8524,0.0,0.0,2:1_0013
104.0,2.861,0.1499,0.0,2:1_0013
104.0,2.8264,0.0365,0.0,2:1_0013
120.0,2.8869,0.0,0.0,2:1_0013
120.0,2.8946,0.0618,0.0,2:1_0013
120.0,2.8486,0.0,0.2603,2:1_0013
128.0,2.8534,0.117,0.0,2:1_0013
128.0,2.849,0.0022,0.0,2:1_0013
128.0,2.8866,0.0814,0.0,2:1_0013
144.0,2.8418,0.0,0.0,2:1_0013
144.0,2.8651,0.0,0.0,2:1_0013
144.0,2.8453,0.0,0.0,2:1_0013
24.0,0.2518,20.0769,10.9115,2:1_0014
24.0,0.2182,19.9637,10.9416,2:1_0014
24.0,0.2435,20.1998,11.0433,2:1_0014
32.333,0.1916,20.0677,11.0453,2:1_0014
32.333,0.2069,19.9803,11.0938,2:1_0014
32.333,0.1815,20.1343,11.2542,2:1_0014
48.0,0.2076,20.048,11.1967,2:1_0014
48.0,0.2096,20.2246,11.0022,2:1_0014
48.0,0.2268,20.0402,11.0217,2:1_0014
55.5,0.6025,19.0371,11.0939,2:1_0014
55.5,0.5665,18.7515,11.0836,2:1_0014
55.5,0.5349,18.6705,11.2991,2:1_0014
72.0,2.8514,0.0051,0.0,2:1_0014
72.0,2.8559,0.0,0.0,2:1_0014
72.0,2.8281,0.1293,0.0,2:1_0014
80.0,2.8286,0.0,0.0,2:1_0014
80.0,2.8429,0.0978,0.0,2:1_0014
80.0,2.8439,0.03,0.0,2:1_0014
96.0,2.9003,0.0,0.0414,2:1_0014
96.0,2.8687,0.0,0.0165,2:1_0014
96.0,2.8421,0.0274,0.0101,2:1_0014
104.0,2.8493,0.0,0.1864,2:1_0014
104.0,2.8639,0.0,0.0,2:1_0014
104.0,2.8207,0.0762,0.0,2:1_0014
120.0,2.8522,0.0,0.0,2:1_0014
120.0,2.8679,0.1056,0.0846,2:1_0014
120.0,2.8211,0.0,0.0253,2:1_0014
128.0,2.8374,0.0,0.0,2:1_0014
128.0,2.8821,0.0,0.0048,2:1_0014
128.0,2.849,0.0,0.0,2:1_0014
144.0,2.8679,0.0036,0.0,2:1_0014
144.0,2.8532,0.0,0.0476,2:1_0014
144.0,2.8385,0.0,0.0513,2:1_0014
24.0,0.2145,21.6328,9.9678,2:1_0015
24.0,0.2502,21.7224,10.0116,2:1_0015
24.0,0.2273,21.9623,9.9438,2:1_0015
32.333,0.2208,21.6331,9.9218,2:1_0015
32.333,0.1868,21.5234,9.759,2:1_0015
32.333,0.2043,21.7569,9.8151,2:1_0015
48.0,0.2269,21.6009,9.945,2:1_0015
48.0,0.1874,21.7226,10.0091,2:1_0015
48.0,0.2109,21.7827,9.9773,2:1_0015
55.5,0.1975,21.1309,9.8024,2:1_0015
55.5,0.2208,20.9823,9.9434,2:1_0015
55.5,0.2132,21.0016,10.0703,2:1_0015
72.0,0.3478,16.9369,9.725,2:1_0015
72.0,0.3872,16.8645,9.8402,2:1_0015
72.0,0.3473,17.0663,9.8437,2:1_0015
80.0,0.5077,13.1045,9.6242,2:1_0015
80.0,0.4927,13.0386,9.5732,2:1_0015
80.0,0.4719,12.9395,9.6353,2:1_0015
96.0,0.9147,0.0522,7.2076,2:1_0015
96.0,0.9577,0.0,7.1481,2:1_0015
96.0,0.921,0.032,7.1725,2:1_0015
104.0,1.1017,0.0918,0.2895,2:1_0015
104.0,1.1135,0.0027,0.1764,2:1_0015
104.0,1.0743,0.0,0.1292,2:1_0015
120.0,1.0762,0.0,0.0344,2:1_0015
120.0,1.0956,0.0,0.0,2:1_0015
120.0,1.125,0.063,0.0454,2:1_0015
128.0,1.0752,0.0287,0.0,2:1_0015
128.0,1.0726,0.0,0.0,2:1_0015
128.0,1.0587,0.0,0.0,2:1_0015
144.0,1.0715,0.0,0.0,2:1_0015
144.0,1.1045,0.208,0.1027,2:1_0015
144.0,1.1111,0.0626,0.0266,2:1_0015
24.0,0.1903,18.0371,8.0956,2:1_0016
24.0,0.2273,18.2218,8.2698,2:1_0016
24.0,0.2168,18.0422,8.1467,2:1_0016
32.333,0.2992,17.9622,8.24,2:1_0016
32.333,0.217,17.8373,8.2156,2:1_0016
32.333,0.2493,17.9687,8.232,2:1_0016
48.0,0.3577,17.3284,8.1036,2:1_0016
48.0,0.3437,17.4506,8.1831,2:1_0016
48.0,0.3478,17.4409,8.2333,2:1_0016
55.5,0.413,17.2195,8.2819,2:1_0016
55.5,0.3586,17.1544,8.2991,2:1_0016
55.5,0.3848,17.113,8.1972,2:1_0016
72.0,0.5683,16.187,8.38,2:1_0016
72.0,0.5744,16.1502,8.0517,2:1_0016
72.0,0.5768,16.1479,8.4109,2:1_0016
80.0,0.6808,15.6228,8.2099,2:1_0016
80.0,0.6947,15.3273,8.0647,2:1_0016
80.0,0.6929,15.7168,8.0615,2:1_0016
96.0,0.8853,13.6993,8.2,2:1_0016
96.0,0.9246,13.6766,7.9663,2:1_0016
